d_nm,amp_scale
126.4615766,9.843581154
126.5605793,9.884645808
126.6596594,9.92586601
126.7588171,9.967242237
126.8580525,10.00877497
126.9573655,10.05046468
127.0567563,10.09231185
127.1562249,10.13431697
127.2557714,10.17648051
127.3553958,10.21880296
127.4550981,10.26128479
127.5548786,10.30392649
127.6547371,10.34672855
127.7546739,10.38969145
127.8546888,10.43281567
127.9547821,10.4761017
128.0549537,10.51955002
128.1552038,10.56316113
128.2555323,10.60693551
128.3559394,10.65087365
128.4564251,10.69497603
128.5569894,10.73924316
128.6576325,10.78367551
128.7583543,10.82827357
128.8591551,10.87303785
128.9600347,10.91796883
129.0609933,10.963067
129.1620309,11.00833286
129.2631477,11.05376691
129.3643436,11.09936962
129.4656187,11.14514151
129.5669731,11.19108306
129.6684069,11.23719478
129.7699201,11.28347715
129.8715127,11.32993068
129.9731849,11.37655586
130.0749366,11.42335319
130.1767681,11.47032317
130.2786792,11.5174663
130.3806701,11.56478309
130.4827409,11.61227402
130.5848916,11.6599396
130.6871223,11.70778033
130.7894329,11.75579672
130.8918237,11.80398927
130.9942947,11.85235847
131.0968458,11.90090484
131.1994773,11.94962887
131.3021891,11.99853107
131.4049813,12.04761195
131.5078539,12.09687201
131.6108072,12.14631176
131.713841,12.1959317
131.8169554,12.24573234
131.9201506,12.29571419
132.0234266,12.34587775
132.1267835,12.39622354
132.2302212,12.44675205
132.3337399,12.49746381
132.4373397,12.54835931
132.5410206,12.59943907
132.6447826,12.6507036
132.7486259,12.7021534
132.8525505,12.753789
132.9565564,12.8056109
133.0606438,12.8576196
133.1648126,12.90981564
133.269063,12.96219951
133.373395,13.01477172
133.4778087,13.0675328
133.5823041,13.12048325
133.6868813,13.17362359
133.7915404,13.22695434
133.8962815,13.280476
134.0011045,13.33418909
134.1060096,13.38809413
134.2109968,13.44219162
134.3160662,13.4964821
134.4212179,13.55096606
134.5264519,13.60564404
134.6317682,13.66051653
134.7371671,13.71558407
134.8426484,13.77084717
134.9482123,13.82630634
135.0538589,13.8819621
135.1595881,13.93781497
135.2654002,13.99386547
135.371295,14.05011412
135.4772728,14.10656142
135.5833336,14.16320791
135.6894773,14.2200541
135.7957042,14.2771005
135.9020142,14.33434764
136.0084075,14.39179604
136.114884,14.44944622
136.2214439,14.50729869
136.3280873,14.56535397
136.4348141,14.62361259
136.5416244,14.68207506
136.6485184,14.74074191
136.7554961,14.79961365
136.8625575,14.85869081
136.9697027,14.9179739
